"adm1_name","year","retail_rice_price_for_1kg"
Rakhine,2008,1279.56
Sagaing,2008,1692.26
Shan (North),2008,1669.54
Shan (South),2008,1084.44
Chin,2008,1512.82
Kachin,2008,1665.17
Magway,2008,2184.54
Market Average,2008,1510.13
Yangon,2008,1509.56
Mon,2008,1417.75
Mandalay,2008,2195.24
Kayah,2008,1175.76
Tanintharyi,2008,1455.40
Kayin,2008,1414.61
Shan (East),2008,1534.45
Sagaing,2009,1170.86
Yangon,2009,1143.47
Tanintharyi,2009,1135.10
Chin,2009,1040.59
Magway,2009,1370.31
Rakhine,2009,857.47
Kachin,2009,1177.71
Mon,2009,1108.39
Mandalay,2009,1453.00
Kayin,2009,1114.99
Shan (South),2009,964.47
Shan (East),2009,1605.23
Market Average,2009,1155.84
Shan (North),2009,1328.73
Kayah,2009,990.92
Mon,2010,1250.88
Kayin,2010,1261.79
Magway,2010,1247.37
Shan (South),2010,1275.12
Sagaing,2010,1216.42
Chin,2010,1272.65
Tanintharyi,2010,1264.40
Kayah,2010,1191.17
Shan (North),2010,1459.48
Market Average,2010,1214.40
Yangon,2010,1199.53
Shan (East),2010,1919.16
Rakhine,2010,784.97
Mandalay,2010,1388.84
Kachin,2010,1211.68
Kayah,2011,1393.81
Mon,2011,1307.51
Magway,2011,1424.96
Kayin,2011,1342.39
Yangon,2011,1302.63
Rakhine,2011,899.28
Market Average,2011,1322.64
Sagaing,2011,1208.64
Kachin,2011,1275.41
Shan (North),2011,1559.93
Tanintharyi,2011,1203.99
Shan (South),2011,1459.84
Chin,2011,1266.75
Mandalay,2011,1611.40
Shan (East),2011,2072.27
Tanintharyi,2012,1246.97
Magway,2012,1292.35
Yangon,2012,1216.17
Chin,2012,1068.55
Rakhine,2012,854.33
Kayah,2012,1184.10
Mon,2012,1222.32
Mandalay,2012,1548.56
Shan (East),2012,2126.03
Kayin,2012,1256.77
Market Average,2012,1234.65
Shan (North),2012,1708.21
Sagaing,2012,1092.17
Kachin,2012,1301.69
Shan (South),2012,1303.17
Magway,2013,1407.72
Shan (South),2013,1197.15
Yangon,2013,1265.97
Mandalay,2013,1599.91
Mon,2013,1247.29
Chin,2013,1216.73
Rakhine,2013,853.23
Kayah,2013,1184.79
Sagaing,2013,1305.70
Tanintharyi,2013,1260.73
Shan (East),2013,2249.12
Kachin,2013,1422.63
Kayin,2013,1262.76
Shan (North),2013,1850.91
Market Average,2013,1277.20
Sagaing,2014,1570.79
Rakhine,2014,949.56
Kayah,2014,1336.08
Yangon,2014,1363.16
Tanintharyi,2014,1349.80
Shan (South),2014,1326.68
Chin,2014,1508.17
Magway,2014,1538.81
Kayin,2014,1356.94
Shan (North),2014,2021.33
Mon,2014,1340.13
Shan (East),2014,2574.27
Mandalay,2014,1654.19
Market Average,2014,1374.27
Kachin,2014,1622.56
Chin,2015,1696.07
Mon,2015,1667.06
Shan (South),2015,1282.80
Kayin,2015,1664.70
Sagaing,2015,1708.38
Mandalay,2015,1856.92
